lemma_id,params,degree,sense,value_exact,value_float,status,truth,cert_path,solver,residual,note
markov,"{""t"": ""2""}",1,sup,1/2,0.5,CERTIFIED,1/2,results\certificates\markov__t2.cert.json,CLARABEL via cvxpy 1.9.2,2.2e-16,lp_gap=2.2e-13;src=symbolic;certgap=2.21e-13
markov,"{""t"": ""3""}",1,sup,1/3,0.333333333333,CERTIFIED,1/3,results\certificates\markov__t3.cert.json,CLARABEL via cvxpy 1.9.2,1.1e-16,lp_gap=3.9e-15;src=symbolic;certgap=3.50e-15
markov,"{""t"": ""5""}",1,sup,1/5,0.2,CERTIFIED,1/5,results\certificates\markov__t5.cert.json,CLARABEL via cvxpy 1.9.2,1.9e-18,lp_gap=1.4e-13;src=symbolic;certgap=1.36e-13
markov,"{""t"": ""10""}",1,sup,1/10,0.0999999999995,CERTIFIED,1/10,results\certificates\markov__t10.cert.json,CLARABEL via cvxpy 1.9.2,2.2e-16,lp_gap=4.7e-13;src=symbolic;certgap=4.74e-13
cantelli,"{""sigma2"": ""1"", ""t"": ""1/2""}",2,sup,4/5,0.8,CERTIFIED,4/5,results\certificates\cantelli__sigma21_t1over2.cert.json,CLARABEL via cvxpy 1.9.2,1.1e-16,lp_gap=1.0e-08;src=symbolic;certgap=4.24e-13
cantelli,"{""sigma2"": ""1"", ""t"": ""1""}",2,sup,1/2,0.500000000002,CERTIFIED,1/2,results\certificates\cantelli__sigma21_t1.cert.json,CLARABEL via cvxpy 1.9.2,5.6e-16,lp_gap=2.0e-12;src=symbolic;certgap=2.04e-12
cantelli,"{""sigma2"": ""1"", ""t"": ""2""}",2,sup,1/5,0.200000000002,CERTIFIED,1/5,results\certificates\cantelli__sigma21_t2.cert.json,CLARABEL via cvxpy 1.9.2,3.3e-16,lp_gap=4.1e-08;src=symbolic;certgap=1.86e-12
cantelli,"{""sigma2"": ""1"", ""t"": ""4""}",2,sup,1/17,0.0588235294137,CERTIFIED,1/17,results\certificates\cantelli__sigma21_t4.cert.json,CLARABEL via cvxpy 1.9.2,2.2e-16,lp_gap=1.7e-08;src=symbolic;certgap=1.93e-12
paley_zygmund,"{""m2"": ""2"", ""theta"": ""1/4""}",2,inf,9/25,0.359999999996,CERTIFIED,9/25,results\certificates\paley_zygmund__m22_theta1over4.cert.json,CLARABEL via cvxpy 1.9.2,8.7e-14,lp_gap=3.3e-04;src=symbolic;certgap=4.36e-12
paley_zygmund,"{""m2"": ""2"", ""theta"": ""1/2""}",2,inf,1/5,0.199999999989,CERTIFIED,1/5,results\certificates\paley_zygmund__m22_theta1over2.cert.json,CLARABEL via cvxpy 1.9.2,6.1e-15,lp_gap=1.4e-04;src=symbolic;certgap=1.08e-11
